code;product_name;brands;nutriscore_grade;nova_group;additives_found;additives_names;additives_risk_levels;ingredients_text
00085600;Caña crema al cacao;Hacendado;unknown;4;E171;Dióxido de titanio;alto;Relleno de crema (349%) (jarabe de glucosa, dextrosa, agua, amucaralmidon 167 modificado (E142)estabilizadores (glicerina, E460, E466), sal, conservador (sorbato potasico), colorantes (E171, E160a) harina de trigo (gluten), cobertura vegetal de cacao (15,0%) (azucar, qrasa vegetal totalmente hidroge
0019044924173;;;unknown;4;E102;Tartrazina;alto;FANTA PINEAPPLE BEBIDA REFRESCANTE CARBONATADA CON SABORA Ingredientes: agua carbonatada, jarabe de maíz alto en fructos naturales, almidón modificado, conservantes (E202, E211), com de coco, sal, emulgente (E444), colorantes artificiales: E102, E negativos sobre la actividad y atención de los niños
0043438403883;;Crown;d;3;E320|E321;BHA (Butilhidroxianisol)|BHT (Butilhidroxitolueno);alto|alto;WHEAT FLOUR, VEGETABLE FAT (PALM, ANTIOXIDANTS E320, E321), BARLEY MALT EXTRACT, YEAST, SALT, RAISING AGENT (SODIUM BICARBONATE). MAY CONTAIN TRACES OF MILK, EGG, NUTS, SOYA AND SESAME.GALLETAS CRACKERS.
0044000007076;;;unknown;4;E122;Azorrubina, Carmoisina;alto;azúcar agua,aroma a granadina,acidulane: ácido cítrico E122,E133
0086158316897;Skittles fruit;;unknown;4;E171;Dióxido de titanio;alto;Socker, glukossirap, palmfett, syror: E330, E296, dextrin, maltodextrin, aromer, modifierad stärkelse, surhetsreglerande medel: E331, färgämnen: E120, E100, E171, E132, E160e, E133, ytbehandlingsmedel: E903, emulgeringsmedel: polyglycerolestrar av fettsyror,
0201037448319;;;c;4;E250;Nitrito sódico;alto;maltodextrine, e451, e450, e331, e301 fibre végétale, e250
0480420000055;Torcidas fresa;;unknown;4;E129;Rojo Allura AC;alto;TORCIDAS FRESA Ingredientes: Jarabe de glucosa-fructosa, harina de TRIGO, (contiene GLUTEN), agua, almidon de maiz, azucar, acidulantes: E330, E270, grasa de palma, corrector de acidez E-331, E-325, aroma, sal, conservante: E-202 emulgente: E-471, colorantes: E-120 E-122, E129 Agentes de recubrimien
0611508175635;Power boost;Taste of America;unknown;4;E129;Rojo Allura AC;alto;d DBZ VEGETA POWE BOOST ENERGY DRINK 355 ML BEBIDA AROMATIZADA Ingredientes: Agua, jarabe de maiz alto en fructosa, corrector de la acidez (E330, E331), taurina, aroma natural, cafeina, conservantes (E202, E212), extracto de ginseng, extracto de guarana, inositol, vitamina B3, vitamina B5, vitamina 
0673367832111;Mochi melon;yuki & love;unknown;4;E102;Tartrazina;alto;relleno de melon (jugo de melon 40%, calabaza blanca, azucar, maltosa, aceite de palma, aromas) 41.8%, maltosa, azucar, harina de arroz glutinoso, fecula de patata, conservante E200, colorantes (E102,E133).
0887725001006;;Electrolit;unknown;4;E102;Tartrazina;alto;1071607 Prot Sal Potasio 0,07 g 78 mg (4%)** 488 mg 24% *Ingesta de referencia de un adulto medio (8400kJ/2000kca **VRN: Valor de Referencia del Nutriente Ingredientes: Agua, dextrosa, lactato de sodio, acidulan citrico), aroma de naranja, cloruro de potasio, melaza, cloruro de cloruro de sodio, col
09403451;fideos instantáneo;yum yum;unknown;4;E320;BHA (Butilhidroxianisol);alto;Fideo harina de trigo, aceite de palma (aceite de paima, antoxidante : E319), almión de, tapioca, sope aromatizntes, potendadores del sabor. E635, extracto de levadura), sal, reguladores de la acidez: E500, E452, E451, espesantes: E466. Condimentos: verduras (zanahoria, ajo, maíz, cebolleta), aceite
12644029;All-Bran. Bizcochito Fruta y Fibra;Kellogg's;unknown;4;E320;BHA (Butilhidroxianisol);alto;Cereales (30%) (salvado de trigo (12%), harina de trigo (9%), copos de avena integral (9%), jarabe de glucosa-fructosa, pure de manzana (12%), aceite de girasol, jarabe de glucosa, pasas sultanas (5,5%) (humectante: glicerol), azucar, fibra de avena, fructosa, jarabe de azucar parcialmente invertido
13656652;;Hema;unknown;4;E171;Dióxido de titanio;alto;Azúcar, cacahuete 20%, leche entera en polvo, masa de cacao, manteco de cacao, suero lácteo en polvo, emulgente lecitina da soja, aromas, espesantes E414 140 Corantes E101 E120 E133 E1600 E171, agentes de recubrimiento E901 E903 E904, jarabe de glucosc Puede contener gluten, trigo, centeno, cebada, 
2000000016990;Pate campana;La inmaculada;unknown;4;E214|E250;Etilparabeno|Nitrito sódico;alto|alto;Panceta de cerdo, cebolla, ajo, higado de cerdo, sal, azucar, especias, E451 E452, E450, E301, E621, fecula de patata, E202, E214,  E301, Proteina de leche, E250
20012939;Salchichas;Dulano;e;4;E250;Nitrito sódico;alto;83% carne de cerdo, agua, sal, tocino, especias (contienen _mostaza_), estabilizantes (E331, E450), dextrosa, proteína hidrolizada (colza, maíz), antioxidantes (E315, E316), conservador E250, humo de madera de haya.
2004060059303;Pechuga de Pavo Cocida Ahumada;La Tabla. Aldi;a;4;E250;Nitrito sódico;alto;Pechuga de pavo (93%), sal, jarabe de glucosa, aromas, azúcar, gelificante (E407), estabilizante (E451), sal potásica, fibra vegetal, antioxidante (E301), conservador (E250). Ahumado con madera de haya.
20149659;Saucisson de payes;Realvalle;e;4;E250;Nitrito sódico;alto;Porc, sel, antioxidants: sulfite de sodium, champignons Lactobacile , dextrine, stabilisants: sorbitol , piment , antioxydants: erythorbate de sodium conservateurs: nitra de potassium , e250 , colorant: e120
2018821199993;Marzipan;Hema;e;4;E171;Dióxido de titanio;alto;sucre, 20% amandes, stabilisant E420, sirop de glucose, épaississant E466, humectant E1103, acidifiant E330, arôme d'amande, concentré d'algues, colorants E120, E153, E160a, E161b, E171.
2087569003329;Costilla adobada;Hemosa;d;4;E250;Nitrito sódico;alto;Costilla de cerdo, sal, antioxidantes: E301 E331 E125 conservantes: E250, E262, dextrosa, azúcar, pimentón, especias y aroma natural.
2183873001577;Cinco Jotas Media Cana de Lomo de Bellota 100% Iberico;Cinco Jotas;e;3;E250;Nitrito sódico;alto;Lome de cerdo 100% ibérico, sal marina, pimentón, espesa antaxrdante E-301 (Ascorbato de sodio), conservadores E-252 (Nitrato de pea E250 Ntrito sódico)
2301879003535;Fiambre de pechuga de pavo adobada;mercadona;unknown;4;E250;Nitrito sódico;alto;Pechuga de pavo (57%), agua, fécula de patata, proteína de soja, sal, proteína láctea y lactosa (LECHE), regulador de la acidez, (E325), estabilizantes (E450i, E451i, E407), aromas, aroma de humo, antioxidantes (E331, E301), especias, conservador (E250), y colorante (E120), recubrimiento tripa comes
2302836003582;Pechuga pimentón;Elaborados pavo;b;4;E250;Nitrito sódico;alto;Pechuga de pavo 87%, agua, sal, dextrosa de maíz, conservadores (E326, E261, E250), estabilizantes (E451, E407), aromas, dextrina de maíz, antioxidantes (E331, E300), colorante (E160c), recubrimiento 1% (pimentón, especias).
